Symbol,Name,Inception date,Category1,Category2,Category3,Market cap,Current dividend yield,Historical average dividend yield,Leverage factor,Average volume,Action,
BKN,Blackrock Investment Quality Municipal Trust CEF,02/23/1993,US Fixed Income,Municipal bonds,Investment grade,"261,912,491.00  $",5%,6%,1.66,"66,667",Analyze,37
BKT,Blackrock Income Trust CEF,07/25/1988,US Fixed Income,Mortgage backed,Investment grade,"324,727,300.00  $",8%,8%,1.53,"307,344",Analyze,38
BLE,Blackrock Municipal Income Trust II CEF,07/26/2002,US Fixed Income,Municipal bonds,Investment grade,"322,673,319.00  $",5%,6%,1.64,"164,763",Analyze,39
BLW,Blackrock Limited Duration Income Trust CEF,07/29/2003,Global Fixed Income,Global,Broad market,"516,253,147.00  $",8%,8%,1.58,"150,466",Analyze,40
BME,Blackrock Health Sciences Trust CEF,03/29/2005,US Equity,Single sector,Health care,"505,364,014.00  $",6%,8%,1.01,"44,519",Analyze,41
BMEZ,BlackRock Health Sciences Trust II CEF,01/29/2020,US Equity,Single sector,Health care,"2,334,518,774.00  $",8%,5%,1.03,"339,780",Analyze,42
BNY,Blackrock New York Municipal Income Trust CEF,07/27/2001,US Fixed Income,Municipal bonds,Investment grade,"168,429,441.00  $",6%,6%,1.70,"86,270",Analyze,43
BOE,Blackrock Enhanced Global Dividend Trust CEF,05/26/2005,Global Equity,Global,Large and mid cap,"757,826,268.00  $",6%,10%,1.01,"218,645",Analyze,44
BRW,Saba Capital Income & Opportunities Fund CEF,06/07/2021,US Fixed Income,Bank loans,Broad market,"543,160,240.00  $",7%,137%,1.00,"276,539",Analyze,45
BSL,Blackstone/GSO Senior Floating Rate Term Fund CEF,04/25/2008,US Fixed Income,Bank loans,Broad market,"217,290,457.00  $",7%,6%,1.64,"47,318",Analyze,46
BST,Blackrock Science and Technology Trust CEF,10/29/2014,Global Equity,Single sector,Information technology,"1,054,032,865.00  $",9%,6%,1.00,"220,729",Analyze,47
BSTZ,Science and Technology Trust II CEF,06/26/2019,Global Equity,Global,Large and mid cap,"2,271,636,995.00  $",11%,6%,1.03,"302,969",Analyze,48
BTA,Blackrock Long-Term Municipal Advantage Trust CEF,02/24/2006,US Fixed Income,Municipal bonds,Investment grade,"161,783,625.00  $",5%,14%,1.62,"63,119",Analyze,49
BTO,John Hancock Financial Opportunities Fund CEF,08/17/1994,Global Equity,Single sector,Financials,"857,271,312.00  $",5%,10%,1.18,"52,242",Analyze,50
BTT,Blackrock Municipal 2030 Target Term Trust CEF,08/29/2012,US Fixed Income,Municipal bonds,Investment grade,"1,740,077,492.00  $",3%,4%,1.51,"112,513",Analyze,51
BTZ,Blackrock Credit Allocation Income Trust CEF,12/22/2006,US Fixed Income,Corporate bonds,Unconstrained,"1,194,661,607.00  $",8%,8%,1.42,"417,919",Analyze,52
BUI,"Blackrock Utilities, Infrastructure, & Power Opportunities  CEF",11/23/2011,Global Equity,Global,Large and mid cap,"469,041,930.00  $",6%,7%,1.01,"78,428",Analyze,53
BWG,Legg Mason BW Global Income Opportunities Fund CEF,03/28/2012,Global Fixed Income,Global,Broad market,"227,739,276.00  $",10%,9%,1.52,"42,687",Analyze,54
BXMX,Nuveen S&P 500 Buy-Write Income Fund CEF,10/27/2004,Alternatives,Options,Covered calls,"1,450,970,508.00  $",6%,8%,1.03,"228,289",Analyze,55
BYM,Blackrock Municipal Income Quality Trust CEF,10/29/2002,US Fixed Income,Municipal bonds,Investment grade,"355,956,560.00  $",5%,6%,1.59,"59,292",Analyze,56
CAF,"Morgan Stanley China A Share Fund, Inc. CEF",09/28/2006,Global Equity,Single country,Multi-cap,"402,181,327.00  $",7%,13%,1.13,"23,168",Analyze,57
CBH,AllianzGI Convertible & Income 2024 Target Term Fund CEF,06/28/2017,US Fixed Income,Broad market,Unconstrained,"177,837,946.00  $",10%,7%,1.43,"17,290",Analyze,58
CCD,Calamos Dynamic Convertible and Income Fund CEF,03/27/2015,US Fixed Income,Broad market,Unconstrained,"657,432,138.00  $",9%,9%,1.53,"82,283",Analyze,59
CEE,Central and Eastern Europe Fund CEF,02/28/1990,Global Equity,Europe,Large and mid cap,"162,159,179.00  $",4%,5%,1.01,"8,058",Analyze,60
CEF,Sprott Physical Gold and Silver Trust CEF,01/02/1990,Commodities,Precious metals,Broad market,"3,966,658,212.00  $",0%,0%,1.00,"584,314",Analyze,61
CEM,ClearBridge MLP and Midstream Fund CEF,01/02/2001,Special Security Types,MLPs,Energy,"439,365,782.00  $",8%,7%,1.59,"62,629",Analyze,62
CEN,Center Coast MLP & Energy Infrastructure Fund CEF,09/26/2013,Special Security Types,MLPs,Energy,"564,369,148.00  $",6%,18%,1.25,"35,618",Analyze,63
CET,Central Securities Corporation CEF,10/01/1929,US Equity,Broad market,Large and mid cap,"1,096,324,037.00  $",9%,3%,1.00,"40,828",Analyze,64
CEV,Eaton Vance California Municipal Income Trust CEF,01/27/1999,US Fixed Income,Municipal bonds,Investment grade,"87,100,951.00  $",5%,6%,1.58,"13,244",Analyze,65
CGO,Calamos Global Total Return Fund CEF,10/27/2005,Asset Allocation,Global,Moderate,"126,017,171.00  $",9%,9%,1.55,"35,163",Analyze,66
CHI,Calamos Convertible Opportunities and Income Fund CEF,06/27/2002,US Fixed Income,Broad market,Unconstrained,"970,947,027.00  $",8%,10%,1.52,"250,038",Analyze,67
CHN,"The China Fund, Inc. CEF",07/10/1992,Global Equity,Single country,Large and mid cap,"180,460,483.00  $",42%,11%,1.04,"21,810",Analyze,68
CHW,Calamos Global Dynamic Income Fund CEF,07/26/2007,Asset Allocation,Global,Moderate,"534,397,029.00  $",9%,10%,1.62,"218,833",Analyze,69
CHY,Calamos Convertible and High Income Fund CEF,05/29/2003,US Fixed Income,Broad market,Unconstrained,"1,060,665,835.00  $",8%,9%,1.52,"198,531",Analyze,70
CIF,MFS Intermediate High Income Fund CEF,10/05/1988,US Fixed Income,Corporate bonds,High yield,"43,270,801.00  $",10%,11%,1.43,"104,401",Analyze,71
CII,Blackrock Enhanced Capital and Income Fund CEF,04/28/2004,US Equity,Broad market,Large and mid cap,"903,606,272.00  $",5%,9%,1.02,"141,614",Analyze,72
CIK,"Credit Suisse Asset Management Income Fund, Inc. CEF",11/05/1987,US Fixed Income,Corporate bonds,High yield,"165,363,732.00  $",9%,11%,1.37,"290,549",Analyze,73
CLM,"Cornerstone Strategic Value Fund, Inc. CEF",06/30/1987,US Equity,Broad market,Large cap,"1,057,024,549.00  $",15%,18%,1.01,"1,679,124",Analyze,74
CMU,MFS High Yield Municipal Trust CEF,03/19/1987,US Fixed Income,Municipal bonds,High yield,"114,434,269.00  $",5%,7%,1.60,"67,794",Analyze,75
CPZ,Calamos Long/Short Equity & Dynamic Income Trust CEF,11/27/2019,Alternatives,Long/short equity,Global stocks,"403,048,943.00  $",8%,8%,1.83,"57,107",Analyze,76
CRF,"Cornerstone Total Return Fund, Inc. CEF",05/15/1973,US Equity,Broad market,Large and mid cap,"538,331,200.00  $",15%,12%,1.00,"807,449",Analyze,77
CSQ,Calamos Strategic Total Return Fund CEF,04/01/2004,Asset Allocation,Global,Moderate,"2,651,970,193.00  $",7%,8%,1.46,"302,863",Analyze,78
CTR,ClearBridge Energy MLP and Midstream Total Return Fund Inc. CEF,01/02/2001,US Equity,Single sector,Energy,"196,474,618.00  $",8%,5%,1.49,"28,610",Analyze,79
CUBA,Herzfeld Caribbean Basin Fund CEF,05/27/1994,Global Equity,Emerging markets,Miscellaneous region,"34,921,408.00  $",19%,5%,1.00,"30,816",Analyze,80
CXE,MFS High Income Municipal Trust CEF,06/30/1989,US Fixed Income,Municipal bonds,High yield,"143,747,926.00  $",5%,7%,1.63,"142,833",Analyze,81
CXH,MFS Investment Grade Municipal Trust CEF,06/30/1989,US Fixed Income,Municipal bonds,Investment grade,"82,629,922.00  $",5%,6%,1.58,"27,873",Analyze,82
DBL,DoubleLine Opportunistic Credit Fund CEF,01/27/2012,US Fixed Income,Broad market,Unconstrained,"260,022,265.00  $",8%,9%,1.31,"68,459",Analyze,83
DCF,"Dreyfus Alcentra Global Credit Income 2024 Target Term Fund, Inc. CEF",10/27/2017,US Fixed Income,Broad market,Unconstrained,"133,051,607.00  $",7%,7%,1.52,"34,173",Analyze,84
DDF,Delaware Investments Dividend & Income Fund CEF,10/27/1994,US Equity,Broad Market,Multi-cap,"84,723,512.00  $",11%,11%,1.46,"38,875",Analyze,85
DEX,Delaware Enhanced Global Dividend and Income Fund CEF,06/27/2007,Asset Allocation,Global,Aggressive,"115,030,279.00  $",8%,9%,1.49,"31,455",Analyze,86
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Incorporated CEF,05/24/2013,Special Security Types,Preferred stock,Global,"497,528,691.00  $",9%,8%,1.50,"102,781",Analyze,87
DHF,Dreyfus High Yield Strategies Fund CEF,04/27/1998,US Fixed Income,Corporate bonds,High yield,"201,763,834.00  $",9%,11%,1.47,"390,490",Analyze,88
DHY,Credit Suisse High Yield Bond Fund CEF,07/29/1998,US Fixed Income,Corporate bonds,High yield,"230,835,629.00  $",8%,13%,1.48,"517,259",Analyze,89
DIAX,Nuveen Dow 30 Dynamic Overwrite Fund CEF,12/03/2014,Alternatives,Options,Covered calls,"610,964,155.00  $",7%,19%,1.01,"89,228",Analyze,90
DLY,DoubleLine Yield Opportunities Fund CEF,02/26/2020,US Fixed Income,Broad market,Unconstrained,"834,894,233.00  $",9%,8%,1.13,"155,806",Analyze,91
DMA,Destra Multi-Alternative Fund CEF,01/13/2022,Asset Allocation,US,Moderate,0.00  $,1%,2%,1.00,"14,049",Analyze,92
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc. CEF",04/26/2013,US Fixed Income,Municipal bonds,Unconstrained,"240,334,105.00  $",5%,5%,1.14,"61,154",Analyze,93
DMF,"Dreyfus Municipal Income, Inc. CEF",11/25/1991,US Fixed Income,Municipal bonds,Investment grade,"163,931,304.00  $",5%,7%,1.31,"64,753",Analyze,94
DMO,Western Asset Mortgage Defined Opportunity Fund Inc. CEF,02/24/2010,US Fixed Income,Mortgage backed,Investment grade,"162,409,376.00  $",10%,12%,1.40,"35,342",Analyze,95
DNP,DNP Select Income Fund Inc. CEF,01/21/1987,US Equity,Single sector,Utilities,"3,760,969,725.00  $",8%,8%,1.32,"666,062",Analyze,96
DPG,Duff & Phelps Global Utility Income Fund Inc. CEF,07/27/2011,US Equity,Single sector,Utilities,"545,430,610.00  $",12%,9%,1.42,"108,508",Analyze,97
DSL,DoubleLine Income Solutions Fund CEF,04/26/2013,US Fixed Income,Broad market,Unconstrained,"1,546,271,912.00  $",11%,10%,1.48,"493,398",Analyze,98
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc. CEF",01/11/1990,US Fixed Income,Municipal bonds,Investment grade,"353,363,804.00  $",5%,7%,1.57,"135,106",Analyze,99
DSU,Blackrock Debt Strategies Fund CEF,03/30/1998,US Fixed Income,Bank loans,Broad market,"504,230,668.00  $",7%,12%,1.48,"175,495",Analyze,100
DTF,DTF Tax-Free Income CEF,11/15/1991,US Fixed Income,Municipal bonds,Investment grade,"112,473,042.00  $",4%,6%,1.60,"12,692",Analyze,101
DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust CEF,06/26/2020,US Fixed Income,Corporate bonds,Investment grade,"74,936,400.00  $",8%,7%,1.40,"8,577",Analyze,102
EAD,Wells Fargo Income Opportunities Fund CEF,02/26/2003,US Fixed Income,Corporate bonds,High yield,"475,890,110.00  $",9%,10%,1.45,"270,872",Analyze,103
ECAT,BlackRock ESG Capital Allocation Trust of Beneficial Interest,09/28/2021,Alternatives,Options,Broad,0.00  $,2%,4%,1.00,"244,817",Analyze,104
ECC,Eagle Point Credit CEF,03/24/2014,US Fixed Income,Bank loans,Broad market,"450,056,520.00  $",13%,12%,1.57,"379,941",Analyze,105
ECF,Ellsworth Growth & Income Fund Ltd. CEF,02/22/1990,Asset Allocation,US,Moderate,"149,304,005.00  $",15%,9%,1.01,"58,571",Analyze,106
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. CEF",04/24/2007,Global Fixed Income,Emerging markets,Broad market,"363,506,688.00  $",7%,9%,1.33,"185,707",Analyze,107
EDF,Stone Harbor Emerging Markets Income Fund CEF,08/22/2008,Global Fixed Income,Emerging markets,Broad market,"111,228,053.00  $",14%,10%,1.07,"96,402",Analyze,108
EDI,Stone Harbor Emerging Markets Total Income Fund CEF,10/26/2012,Global Fixed Income,Emerging markets,Broad market,"78,432,567.00  $",12%,12%,1.52,"26,000",Analyze,109
EEA,European Equity Fund CEF,11/05/1987,Global Equity,Europe,Large and mid cap,"69,337,862.00  $",15%,7%,1.05,"19,504",Analyze,110
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust CEF,07/27/2017,US Fixed Income,Bank loans,Broad market,"217,673,155.00  $",4%,5%,1.53,"67,992",Analyze,111
EFR,Eaton Vance Senior Floating-Rate Trust CEF,11/25/2003,US Fixed Income,Bank loans,Broad market,"534,300,539.00  $",7%,7%,1.61,"185,254",Analyze,112
EFT,Eaton Vance Floating-Rate Income Trust CEF,06/25/2004,US Fixed Income,Bank loans,Broad market,"409,513,396.00  $",7%,7%,1.60,"168,984",Analyze,113
EGF,Blackrock Enhanced Government Fund CEF,10/27/2005,US Fixed Income,U.S. treasury bonds,Intermediate term,"54,310,301.00  $",4%,6%,1.26,"8,897",Analyze,114
EHI,Western Asset Global High Income Fund Inc. CEF,07/29/2003,Global Fixed Income,Global,Broad market,"202,913,835.00  $",10%,9%,1.47,"54,897",Analyze,115
EIC,Eagle Point Income Company CEF,07/23/2019,US Fixed Income,Mortgage backed,Unconstrained,"104,847,884.00  $",9%,9%,1.31,"10,424",Analyze,116
EIM,Eaton Vance Municipal Bond Fund CEF,08/28/2002,US Fixed Income,Municipal bonds,Investment grade,"864,877,272.00  $",5%,6%,1.70,"164,904",Analyze,117
EMD,Western Asset Emerging Markets Debt Fund Inc. CEF,12/02/2003,Global Fixed Income,Emerging markets,Broad market,"710,120,880.00  $",10%,9%,1.40,"306,393",Analyze,118
EMF,Templeton Emerging Markets Fund CEF,01/11/1990,Global Equity,Emerging markets,Large and mid cap,"255,644,887.00  $",7%,9%,1.04,"30,042",Analyze,119
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. CEF,12/20/2002,US Equity,Single sector,Energy,"349,712,027.00  $",7%,7%,1.52,"51,974",Analyze,120
ENX,Eaton Vance New York Municipal Bond Fund CEF,08/28/2002,US Fixed Income,Municipal bonds,Investment grade,"201,113,063.00  $",5%,5%,1.53,"47,165",Analyze,121
EOD,Wells Fargo Global Dividend Opportunity Fund CEF,03/28/2007,Asset Allocation,Global,Moderate,"233,947,275.00  $",9%,12%,1.27,"250,337",Analyze,122
EOI,Eaton Vance Enhanced Equity Income Fund CEF,10/27/2004,Alternatives,Options,Covered calls,"753,839,125.00  $",7%,8%,1.02,"121,105",Analyze,123
EOS,Eaton Vance Enhanced Equity Income Fund II CEF,01/27/2005,Alternatives,Options,Covered calls,"1,066,900,929.00  $",7%,8%,1.01,"191,619",Analyze,124
EOT,Eaton Vance National Municipal Opportunities Trust CEF,05/27/2009,US Fixed Income,Municipal bonds,Investment grade,"307,185,449.00  $",4%,5%,1.07,"25,048",Analyze,125
ERC,Wells Fargo Multi-Sector Income Fund CEF,06/25/2003,Global Fixed Income,Global,Broad market,"318,845,017.00  $",10%,9%,1.42,"76,523",Analyze,126
ERH,Wells Fargo Utilities and High Income Fund CEF,04/28/2004,Asset Allocation,US,Conservative,"119,184,585.00  $",7%,11%,1.25,"21,287",Analyze,127
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund CEF,04/27/2005,Alternatives,Options,Covered calls,"447,428,307.00  $",8%,9%,1.02,"90,224",Analyze,128
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund CEF,01/28/2004,Asset Allocation,Global,Moderate,"1,534,397,304.00  $",7%,8%,1.33,"183,308",Analyze,129
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund CEF,07/27/2007,Alternatives,Options,Broad,"650,962,955.00  $",10%,10%,1.01,"265,743",Analyze,130
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund CEF,04/28/2004,Global Equity,Global,Large and mid cap,"469,809,531.00  $",7%,8%,1.34,"54,305",Analyze,131
ETV,Eaton Vance Tax-Managed Buy-Write Opportunities Fund CEF,06/28/2005,Alternatives,Options,Covered calls,"1,444,702,756.00  $",9%,10%,1.02,"535,184",Analyze,132
ETW,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund CEF,09/28/2005,Alternatives,Options,Covered calls,"1,135,058,749.00  $",9%,10%,1.02,"303,741",Analyze,133
ETX,Eaton Vance Municipal Income 2028 Term Trust CEF,03/26/2013,US Fixed Income,Municipal bonds,Unconstrained,"218,144,622.00  $",5%,4%,1.53,"35,953",Analyze,134
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund CEF,11/28/2006,Alternatives,Options,Covered calls,"2,105,832,182.00  $",8%,10%,1.02,"342,297",Analyze,135
EVF,Eaton Vance Senior Income Trust CEF,10/28/1998,US Fixed Income,Bank loans,Broad market,"256,735,595.00  $",6%,7%,1.37,"43,666",Analyze,136
EVG,Eaton Vance Short Duration Diversified Income Fund CEF,02/24/2005,Global Fixed Income,Global,Broad market,"164,009,767.00  $",12%,7%,1.36,"95,406",Analyze,137
EVM,Eaton Vance California Municipal Bond Fund CEF,08/28/2002,US Fixed Income,Municipal bonds,Investment grade,"259,941,126.00  $",5%,6%,1.70,"75,331",Analyze,138
EVN,Eaton Vance Municipal Income Trust CEF,01/27/1999,US Fixed Income,Municipal bonds,Investment grade,"477,989,314.00  $",5%,6%,1.53,"139,938",Analyze,139
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund CEF,09/26/2003,Asset Allocation,US,Moderate,"2,006,021,694.00  $",7%,8%,1.25,"146,381",Analyze,140
EVV,Eaton Vance Limited Duration Income Fund CEF,05/28/2003,US Fixed Income,Broad market,Unconstrained,"1,362,677,126.00  $",10%,9%,1.57,"456,012",Analyze,141
EXD,Eaton Vance Tax-Advantaged Bond and Options Strategies Fund CEF,06/25/2010,Alternatives,Options,Broad,"113,956,872.00  $",8%,10%,1.07,"40,660",Analyze,142
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund CEF,02/23/2007,Alternatives,Options,Covered calls,"2,886,288,717.00  $",9%,11%,1.05,"1,230,707",Analyze,143
FAM,First Trust/Aberdeen Global Opportunity Income Fund CEF,11/24/2004,Global Fixed Income,Global,Broad market,"109,857,882.00  $",11%,10%,1.41,"39,773",Analyze,144
FAX,"Aberdeen Asia-Pacific Income Fund, Inc. CEF",02/10/1988,Global Fixed Income,Global ex-US,Broad market,"906,566,511.00  $",10%,10%,1.52,"1,114,964",Analyze,145
FCO,Aberdeen Global Income Fund CEF,03/12/1992,Global Fixed Income,Global,Broad market,"64,151,952.00  $",12%,8%,1.41,"37,489",Analyze,146
FCT,First Trust Senior Floating Rate Income Fund II CEF,05/26/2004,US Fixed Income,Bank loans,Broad market,"316,413,770.00  $",9%,7%,1.43,"162,471",Analyze,147
FDEU,First Trust Dynamic Europe Equity Income Fund CEF,09/25/2015,Global Equity,Europe,Multi-cap,"231,941,482.00  $",5%,9%,1.25,"79,885",Analyze,148
FEI,First Trust MLP and Energy Income Fund CEF,11/28/2012,US Equity,Single sector,Energy,"351,417,780.00  $",9%,8%,1.41,"210,225",Analyze,149
FEN,First Trust Energy Income and Growth Fund CEF,06/25/2004,US Equity,Single sector,Energy,"296,933,854.00  $",8%,8%,1.48,"92,458",Analyze,150
FEO,First Trust/Aberdeen Emerging Opportunity Fund CEF,08/29/2006,Asset Allocation,Emerging markets,Moderate,"64,743,672.00  $",11%,9%,1.08,"15,648",Analyze,151
FFA,First Trust Enhanced Equity Income Fund CEF,08/27/2004,Alternatives,Options,Covered calls,"404,652,470.00  $",6%,8%,1.00,"33,031",Analyze,152
FFC,Flaherty & Crumrine Preferred Securities Income Fund Incorporated CEF,01/29/2003,Special Security Types,Preferred stock,U.S.,"847,947,277.00  $",10%,9%,1.50,"249,217",Analyze,153
FGB,First Trust Specialty Finance and Financial Opportunities Fund CEF,05/25/2007,US Equity,Single sector,Financials,"58,310,581.00  $",10%,10%,1.25,"80,306",Analyze,154
FIF,First Trust Energy Infrastructure Fund CEF,01/02/2001,US Equity,Single sector,Energy,"231,407,258.00  $",6%,4%,1.37,"57,674",Analyze,155
FINS,Angel Oak Financial Strategies Income Term Trust CEF,05/29/2019,US Fixed Income,Broad market,Investment grade,"249,755,567.00  $",8%,7%,1.45,"58,079",Analyze,156
FLC,Flaherty & Crumrine Total Return Fund Incorporated CEF,08/27/2003,Special Security Types,Preferred stock,U.S.,"204,865,997.00  $",9%,8%,1.50,"33,375",Analyze,157
FMN,Federated Premier Municipal Income Fund CEF,12/20/2002,US Fixed Income,Municipal bonds,Investment grade,"153,291,041.00  $",5%,6%,1.66,"38,228",Analyze,158
FMO,Fiduciary/Claymore Energy Infrastructure Fund CEF,12/23/2004,Special Security Types,MLPs,Energy,"415,365,801.00  $",8%,17%,1.75,"54,635",Analyze,159
FMY,First Trust Mortgage Income Fund CEF,05/26/2005,US Fixed Income,Mortgage backed,Investment grade,"53,422,298.00  $",5%,7%,1.00,"5,428",Analyze,160
FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc. CEF",11/21/2006,Special Security Types,Closed end funds,,"367,735,808.00  $",8%,9%,1.02,"69,591",Analyze,161
